,Friday December 03 2021,Country,Event,Actual,Previous,Consensus,Forecast,drop,drop
0,12:30 AM,JP,Jibun Bank Services PMI Final  NOV,53,50.7,,52.1,,
1,12:30 AM,JP,Jibun Bank Composite PMI Final  NOV,53.3,50.7,,52.5,,
2,01:45 AM,CN,Caixin Services PMI  NOV,52.1,53.8,,53,,
3,01:45 AM,CN,Caixin Composite PMI  NOV,51.2,51.5,,51,,
4,05:00 AM,IN,Markit Composite PMI  NOV,59.2,58.7,,57,,
5,05:00 AM,IN,Markit Services PMI  NOV,58.1,58.4,57.8,57,,
6,06:00 AM,RU,Markit Services PMI  NOV,47.1,48.8,,47.7,,
7,06:00 AM,RU,Markit Composite PMI  NOV,48.4,49.5,,49.2,,
8,07:00 AM,TR,Inflation Rate MoM  NOV,3.51%,2.39%,3%,4%,,
9,07:00 AM,TR,Inflation Rate YoY  NOV,21.31%,19.89%,20.7%,23%,,
10,07:00 AM,TR,PPI YoY  NOV,54.62%,46.31%,,50.7%,,
11,07:00 AM,TR,PPI MoM  NOV,9.99%,5.24%,,7.2%,,
12,07:15 AM,ZA,IHS Markit PMI  NOV,51.7,48.6,,50.3,,
13,07:45 AM,FR,Industrial Production MoM  OCT,0.9%,-1.5%  ®,0.5%,0.7%,,
14,07:45 AM,FR,Budget Balance  OCT,€-171.6B,€-175.1B  ®,,€-173B,,
15,08:15 AM,ES,Markit Services PMI  NOV,59.8,56.6,58.8,58.2,,
16,08:15 AM,ES,Markit Composite PMI  NOV,58.3,56.2,,57.9,,
17,08:30 AM,EA,ECB President Lagarde Speech,,,,,,
18,08:45 AM,IT,IHS Markit Services PMI  NOV,55.9,52.4,54.8,53.6,,
19,08:45 AM,IT,IHS Markit Composite PMI  NOV,57.6,54.2,,54.9,,
20,08:50 AM,FR,Markit Composite PMI Final  NOV,56.1,54.7,56.3,56.3,,
21,08:50 AM,FR,Markit Services PMI Final  NOV,57.4,56.6,58.2,58.2,,
22,08:55 AM,DE,Markit Composite PMI Final  NOV,52.2,52,52.8,52.8,,
23,08:55 AM,DE,Markit Services PMI Final  NOV,52.7,52.4,53.4,53.4,,
24,09:00 AM,EA,Markit Composite PMI Final  NOV,55.4,54.2,55.8,55.8,,
25,09:00 AM,EA,Markit Services PMI Final  NOV,55.9,54.6,56.6,56.6,,
26,09:30 AM,GB,Markit/CIPS Composite PMI Final  NOV,57.6,57.8,57.7,57.7,,
27,09:30 AM,GB,Markit/CIPS UK Services PMI Final  NOV,58.5,59.1,58.6,58.6,,
28,10:00 AM,EA,Retail Sales MoM  OCT,0.2%,-0.4%  ®,0.2%,0.1%,,
29,10:00 AM,EA,Retail Sales YoY  OCT,1.4%,2.6%  ®,1.2%,1%,,
30,10:00 AM,FR,Retail Sales MoM  OCT,0.6%,-0.5%  ®,,0.4%,,
31,10:00 AM,FR,Retail Sales YoY  OCT,4.5%,6.1%  ®,,4.4%,,
32,11:00 AM,GB,BoE Saunders Speech,,,,,,
33,11:30 AM,IN,Deposit Growth YoY  NOV/19,9.8%,11.4%,,,,
34,11:30 AM,IN,Foreign Exchange Reserves  26/NOV,$637.687B,$640.401B,,,,
35,11:30 AM,IN,Bank Loan Growth YoY  NOV/19,7%,7.1%,,,,
36,11:45 AM,DE,New Car Registrations YoY  NOV,-31.7%,-34.9%,,-16%,,
37,12:00 PM,BR,Industrial Production YoY  OCT,-7.8%,-4%  ®,-5%,-4.6%,,
38,12:00 PM,BR,Industrial Production MoM  OCT,-0.6%,-0.6%  ®,0.6%,0.3%,,
39,01:00 PM,BR,Markit Services PMI  NOV,53.6,54.9,,53.5,,
40,01:00 PM,BR,Markit Composite PMI  NOV,52,53.4,,52.5,,
41,01:00 PM,EA,ECB Lane Speech,,,,,,
42,01:30 PM,CA,Unemployment Rate  NOV,6%,6.7%,6.6%,6.6%,,
43,01:30 PM,CA,Employment Change  NOV,153.7K,31.2K,35K,45K,,
44,01:30 PM,CA,Full Time Employment Chg  NOV,79.9K,36.4K,,35K,,
45,01:30 PM,CA,Participation Rate  NOV,65.3%,65.3%,,65.4%,,
46,01:30 PM,CA,Part Time Employment Chg  NOV,73.8K,-5.2K,,10K,,
47,01:30 PM,CA,Labor Productivity QoQ  Q3,-1.5%,0%  ®,-0.8%,-0.4%,,
48,01:30 PM,CA,Average Hourly Wages YoY  NOV,3%,2.1%,,2.2%,,
49,01:30 PM,US,Non Farm Payrolls  NOV,210K,546K  ®,550K,550K,,
50,01:30 PM,US,Unemployment Rate  NOV,4.2%,4.6%,4.5%,4.6%,,
51,01:30 PM,US,Average Hourly Earnings MoM  NOV,0.3%,0.4%,0.4%,0.3%,,
52,01:30 PM,US,Average Hourly Earnings YoY  NOV,4.8%,4.8%  ®,5%,5%,,
53,01:30 PM,US,Nonfarm Payrolls Private  NOV,235K,628K  ®,530K,590K,,
54,01:30 PM,US,Manufacturing Payrolls  NOV,31K,48K  ®,45K,80K,,
